comparison,candidate,reference,metric,candidate_point,reference_point,difference_point,ci_low,ci_high,two_sided_empirical_p,bootstrap_reps,patient_count,roi_count
safety_checkpoint_vs_grade_checkpoint,CORAL_RISK_S,CORAL_RISK_G,qwk,0.7850772435211346,0.7832715222537914,0.001805721267343241,-0.012925613981159044,0.01719723220439373,0.7954409118176364,5000,468,2978
safety_checkpoint_vs_grade_checkpoint,CORAL_RISK_S,CORAL_RISK_G,mae,0.30087306917394224,0.2800537273337811,0.020819341840161154,0.005392425700198831,0.035985770859673076,0.006798640271945611,5000,468,2978
safety_checkpoint_vs_grade_checkpoint,CORAL_RISK_S,CORAL_RISK_G,high_risk_recall_argmax,0.8116883116883117,0.7316017316017316,0.0800865800865801,0.0542142596359464,0.10721660763834054,0.0003999200159968006,5000,468,2978
safety_checkpoint_vs_grade_checkpoint,CORAL_RISK_S,CORAL_RISK_G,false_clear_rate_argmax,0.18831168831168832,0.2683982683982684,-0.0800865800865801,-0.10721660763834057,-0.05421425963594643,0.0003999200159968006,5000,468,2978
safety_checkpoint_vs_grade_checkpoint,CORAL_RISK_S,CORAL_RISK_G,risk_auprc,0.8304933592605903,0.8363762326548169,-0.005882873394226551,-0.019259700451968707,0.008269959123214285,0.4039192161567686,5000,468,2978
safety_checkpoint_vs_grade_checkpoint,CORAL_RISK_S,CORAL_RISK_G,risk_brier,0.06648875321273591,0.055811137427067684,0.010677615785668226,0.007165808273053763,0.014178436829388352,0.0003999200159968006,5000,468,2978
safety_checkpoint_vs_grade_checkpoint,CORAL_RISK_S,CORAL_RISK_G,risk_ece,0.0783377054606621,0.028615646958376862,0.04972205850228524,0.03988078416681741,0.05433305629815652,0.0003999200159968006,5000,468,2978
safety_checkpoint_vs_grade_checkpoint,CORAL_RISK_S,CORAL_RISK_G,crossfit_roi_recall,0.8896103896103896,0.8939393939393939,-0.0043290043290042934,-0.023709462233169068,0.014522821576763437,0.7546490701859628,5000,468,2978
safety_checkpoint_vs_grade_checkpoint,CORAL_RISK_S,CORAL_RISK_G,crossfit_roi_specificity,0.8589030206677265,0.8620826709062003,-0.0031796502384737746,-0.012543221499486517,0.0065495674501133685,0.5550889822035593,5000,468,2978
safety_checkpoint_vs_grade_checkpoint,CORAL_RISK_S,CORAL_RISK_G,crossfit_roi_flag_rate,0.25721961047683006,0.2552048354600403,0.0020147750167897605,-0.006830717815402896,0.010631588614873486,0.6822635472905418,5000,468,2978
