case_key,case,outer_fold,branch,method,target_class,fraction,original_prob,random_prob_mean,random_prob_sd
FAITH_006,F1_boundary_disagreement,1,CORAL-MSaux,Occlusion,0,0.3,0.5753597617149353,0.462435795366764,0.0371733252363947
FAITH_006,F1_boundary_disagreement,1,Original DeiT,Integrated Gradients,3,0.05,0.4849847257137298,0.5453136995434761,0.0804857973218558
FAITH_006,F1_boundary_disagreement,1,Original DeiT,Integrated Gradients,3,0.1,0.4849847257137298,0.602047972381115,0.0623432497591395
FAITH_006,F1_boundary_disagreement,1,Original DeiT,Integrated Gradients,3,0.2,0.4849847257137298,0.6526197671890259,0.0470301221417019
FAITH_006,F1_boundary_disagreement,1,Original DeiT,Integrated Gradients,3,0.3,0.4849847257137298,0.6326461732387543,0.0571222496716707
FAITH_006,F1_boundary_disagreement,1,Original DeiT,Occlusion,3,0.05,0.4849847257137298,0.5016997307538986,0.1087605533922319
FAITH_006,F1_boundary_disagreement,1,Original DeiT,Occlusion,3,0.1,0.4849847257137298,0.6018530055880547,0.0605864734460704
FAITH_006,F1_boundary_disagreement,1,Original DeiT,Occlusion,3,0.2,0.4849847257137298,0.6205652058124542,0.0806482481344446
FAITH_006,F1_boundary_disagreement,1,Original DeiT,Occlusion,3,0.3,0.4849847257137298,0.6466787248849869,0.0595413439134906
FAITH_007,F1_challenge_error,1,CORAL-MSaux,Integrated Gradients,0,0.05,0.8338190317153931,0.8337738782167434,0.0136534770503617
FAITH_007,F1_challenge_error,1,CORAL-MSaux,Integrated Gradients,0,0.1,0.8338190317153931,0.8157014191150666,0.016575869501657
FAITH_007,F1_challenge_error,1,CORAL-MSaux,Integrated Gradients,0,0.2,0.8338190317153931,0.7846995502710342,0.021064222754158
FAITH_007,F1_challenge_error,1,CORAL-MSaux,Integrated Gradients,0,0.3,0.8338190317153931,0.7129205405712128,0.0483853739569088
FAITH_007,F1_challenge_error,1,CORAL-MSaux,Occlusion,0,0.05,0.8338190317153931,0.8289221912622452,0.0141781391501538
FAITH_007,F1_challenge_error,1,CORAL-MSaux,Occlusion,0,0.1,0.8338190317153931,0.8238609194755554,0.0176856303966599
FAITH_007,F1_challenge_error,1,CORAL-MSaux,Occlusion,0,0.2,0.8338190317153931,0.7766236215829849,0.0387740068728309
FAITH_007,F1_challenge_error,1,CORAL-MSaux,Occlusion,0,0.3,0.8338190317153931,0.7280783176422119,0.0414643125410726
FAITH_007,F1_challenge_error,1,Original DeiT,Integrated Gradients,1,0.05,0.479511559009552,0.4236247912049293,0.041982676313659
FAITH_007,F1_challenge_error,1,Original DeiT,Integrated Gradients,1,0.1,0.479511559009552,0.3670940563082695,0.0417195682373595
FAITH_007,F1_challenge_error,1,Original DeiT,Integrated Gradients,1,0.2,0.479511559009552,0.281872559338808,0.0380062011086018
FAITH_007,F1_challenge_error,1,Original DeiT,Integrated Gradients,1,0.3,0.479511559009552,0.2268668591976165,0.0358875660192768
FAITH_007,F1_challenge_error,1,Original DeiT,Occlusion,1,0.05,0.479511559009552,0.4148817256093025,0.0540981205734332
FAITH_007,F1_challenge_error,1,Original DeiT,Occlusion,1,0.1,0.479511559009552,0.3661520808935165,0.0266806004417965
FAITH_007,F1_challenge_error,1,Original DeiT,Occlusion,1,0.2,0.479511559009552,0.2862764172255992,0.0300051358824921
FAITH_007,F1_challenge_error,1,Original DeiT,Occlusion,1,0.3,0.479511559009552,0.2413008533418178,0.038067638240723
FAITH_008,F1_correct_agreement,1,CORAL-MSaux,Integrated Gradients,0,0.05,0.9504956007003784,0.959603387117386,0.0044960567124805
FAITH_008,F1_correct_agreement,1,CORAL-MSaux,Integrated Gradients,0,0.1,0.9504956007003784,0.9589590489864348,0.006256422163232
FAITH_008,F1_correct_agreement,1,CORAL-MSaux,Integrated Gradients,0,0.2,0.9504956007003784,0.9385968983173372,0.0113118052033066
FAITH_008,F1_correct_agreement,1,CORAL-MSaux,Integrated Gradients,0,0.3,0.9504956007003784,0.8845776557922364,0.0220687133247625
FAITH_008,F1_correct_agreement,1,CORAL-MSaux,Occlusion,0,0.05,0.9504956007003784,0.960051202774048,0.0040283270412999
FAITH_008,F1_correct_agreement,1,CORAL-MSaux,Occlusion,0,0.1,0.9504956007003784,0.9564307421445848,0.0058388235464375
FAITH_008,F1_correct_agreement,1,CORAL-MSaux,Occlusion,0,0.2,0.9504956007003784,0.9404849737882616,0.0094621636283568
FAITH_008,F1_correct_agreement,1,CORAL-MSaux,Occlusion,0,0.3,0.9504956007003784,0.8930774420499802,0.0183636519673065
FAITH_008,F1_correct_agreement,1,Original DeiT,Integrated Gradients,0,0.05,0.7979549765586853,0.362847663462162,0.0448746880510273
FAITH_008,F1_correct_agreement,1,Original DeiT,Integrated Gradients,0,0.1,0.7979549765586853,0.2585269160568714,0.0549932516519322
FAITH_008,F1_correct_agreement,1,Original DeiT,Integrated Gradients,0,0.2,0.7979549765586853,0.2083788812160492,0.0585883109426634
FAITH_008,F1_correct_agreement,1,Original DeiT,Integrated Gradients,0,0.3,0.7979549765586853,0.2219386093318462,0.0506801289322511
FAITH_008,F1_correct_agreement,1,Original DeiT,Occlusion,0,0.05,0.7979549765586853,0.3832495748996735,0.0552614666152629
FAITH_008,F1_correct_agreement,1,Original DeiT,Occlusion,0,0.1,0.7979549765586853,0.3055244967341423,0.0586096397000185
FAITH_008,F1_correct_agreement,1,Original DeiT,Occlusion,0,0.2,0.7979549765586853,0.2362528122961521,0.0516055003028048
FAITH_008,F1_correct_agreement,1,Original DeiT,Occlusion,0,0.3,0.7979549765586853,0.2141612704843282,0.0597716524323789
FAITH_009,F2_benefit_correction,2,CORAL-MSaux,Integrated Gradients,1,0.05,0.4028988182544708,0.3566061407327652,0.0330083911214145
FAITH_009,F2_benefit_correction,2,CORAL-MSaux,Integrated Gradients,1,0.1,0.4028988182544708,0.3324387982487679,0.0544549882848586
